,masked_text,original_sentence_text_before_tokenisation,prediction,score,y
10,__NE_FROM__ ' s __NE_TO__ Hit 3.5 Million Units .,Toyota’s China Expansion Could Hit 3.5 Million Units.,reject,0.4620835185,0
11,"__NE_FROM__ remains committed to hydrogen cars , but a lack of infrastructure has slowed its plans , says __NE_TO__ CEO Jim Lentz .","Toyota remains committed to hydrogen cars, but a lack of infrastructure has slowed its plans, says Toyota North America CEO Jim Lentz.",reject,0.3439133763,0
12,"__NE_FROM__ ' s 15th manufacturing plant , a joint venture with __NE_TO__ , is scheduled to open in Huntsville , Alabama , in 2021 .","Toyota’s 15th manufacturing plant, a joint venture with Mazda, is scheduled to open in Huntsville, Alabama, in 2021.",B_supplies_A,0.3226425052,1
13,__NE_FROM__ constructs zero emissions building at __NE_TO__ using stationary pure hydrogen fuel cell technology .,Toyota constructs zero emissions building at Honsha Plant using stationary pure hydrogen fuel cell technology.,reject,0.5421003103,0
14,__NE_FROM__ ' s Carter to speak at __NE_TO__ .,Toyota's Carter to speak at Retail Forum.,reject,0.6632017493,0
15,"The three-year trial project brings together the competencies and services of five partners : the __NE_OTHER__ , the __NE_FROM__ , French electricity company __NE_OTHER__ and its affiliate __NE_OTHER__ , __NE_TO__ , and __NE_OTHER__ , the local car-sharing operator .","The three-year trial project brings together the competencies and services of five partners: the City of Grenoble, the Metro Area, French electricity company EDF and its affiliate Sodetrel, Toyota, and Cité lib, the local car-sharing operator.",reject,0.8156401515,0
16,"King has clearly stated that he intends to organize __NE_FROM__ , __NE_TO__ and all the nonunion transplant automakers in the United States .","King has clearly stated that he intends to organize Toyota, Honda and all the nonunion transplant automakers in the United States.",reject,0.8471567631,0
17,__NE_FROM__ is directly linked to __NE_TO__ ' s Japanese headquarters .,TMF is directly linked to Toyota’s Japanese headquarters.,reject,0.49872368570000003,0
18,"__NE_FROM__ sales will gain about 8 percent to 7.55 million , while __NE_TO__ will drop 9 percent to 7.27 million , according to the survey .","GM sales will gain about 8 percent to 7.55 million, while Toyota will drop 9 percent to 7.27 million, according to the survey.",reject,0.7182196379,0
19,One of __NE_OTHER__ sources says Toyoda and Kobayashi were alarmed by out-of-control extravagance ” in the agency ' s spending for two recent events : a ride-and-drive in China for __NE_FROM__ ' s __NE_TO__ luxury brand and an opulent __NE_OTHER__ display at this year ' s Beijing auto show .,One of Reuters’ sources says Toyoda and Kobayashi were alarmed by out-of-control extravagance” in the agency’s spending for two recent events: a ride-and-drive in China for Toyota’s Lexus luxury brand and an opulent Toyota display at this year’s Beijing auto show.,reject,0.9186357856,0
20,"__NE_FROM__ , which already supplies minicars to __NE_TO__ and four non-mini models to __NE_OTHER__ , currently leads the minicar market with a 35 % share .","Daihatsu, which already supplies minicars to Fuji Heavy Industries Ltd. and four non-mini models to Toyota, currently leads the minicar market with a 35% share.",A_supplies_B,0.3878860474,2
21,"In the commercial-vehicle market , __NE_FROM__ , a __NE_TO__ company that assembles , sells , and services a lineup of Class 4-7 conventional and cab-over commercial trucks , honored three __NE_OTHER__ facilities in the United States and India for 100 percent on-time delivery .","In the commercial-vehicle market, Hino Motors Manufacturing, Inc., a Toyota Group company that assembles, sells, and services a lineup of Class 4-7 conventional and cab-over commercial trucks, honored three Dana facilities in the United States and India for 100 percent on-time delivery.",reject,0.7787988782,0
22,"Li asked __NE_FROM__ to cooperate on green technology , and the company advised China to embrace hybrids and not just focus on pure electric vehicles , the __NE_TO__ executive said .","Li asked Toyota to cooperate on green technology, and the company advised China to embrace hybrids and not just focus on pure electric vehicles, the Toyota executive said.",reject,0.9480382204000001,0
23,"__NE_OTHER__ ' s top three suppliers of vehicles are __NE_FROM__ , __NE_OTHER__ and __NE_TO__ .","Hertz's top three suppliers of vehicles are General Motors, Nissan and Toyota.",reject,0.8862442970000001,0
24,"As __NE_FROM__ continues the roll-out of Toyota Safety Sense across its range , the second iteration of the system premieres at Frankfurt , with Pedestrian Recognition and __NE_TO__ being added to system ' s existing features . ¹","As Toyota continues the roll-out of Toyota Safety Sense across its range, the second iteration of the system premieres at Frankfurt, with Pedestrian Recognition and Adaptive Cruise Control being added to system’s existing features.¹",reject,0.4422675371,0
25,"There are no stand-alone __NE_OTHER__ dealers , and that count approximates the roughly 1,000 __NE_FROM__ dealers in operation in August , when __NE_TO__ gave them permission to leave .","There are no stand-alone Scion dealers, and that count approximates the roughly 1,000 Scion dealers in operation in August, when Toyota gave them permission to leave.",reject,0.9258977771,0
26,"Aside from __NE_FROM__ and __NE_TO__ ( up 7 percent ) , every automaker posted double-digit sales gains last month .","Aside from Toyota and Mazda (up 7 percent), every automaker posted double-digit sales gains last month.",reject,0.7587311268,0
27,"__NE_FROM__ , __NE_TO__ .","Ford, Toyota Call Off Hybrid Truck Venture.",reject,0.7710912824,0
28,"After years of stonewalling , and just recently opening up to __NE_OTHER__ , __NE_FROM__ may soon offer Android Auto compatibility in future vehicles , according to a report from __NE_TO__ .","After years of stonewalling, and just recently opening up to Apple CarPlay, Toyota may soon offer Android Auto compatibility in future vehicles, according to a report from Automotive News.",reject,0.9133979082,0
29,"Last year the Guangzhou ' s __NE_FROM__ and __NE_TO__ ventures sold 480,000 and 370,000 units , respectively .","Last year the Guangzhou's Honda and Toyota ventures sold 480,000 and 370,000 units, respectively.",reject,0.42317363620000004,0
30,"Companies that remain committed to __NE_OTHER__ include __NE_FROM__ , __NE_OTHER__ , __NE_TO__ , __NE_OTHER__ , __NE_OTHER__ , __NE_OTHER__ , __NE_OTHER__ , __NE_OTHER__ and __NE_OTHER__ .","Companies that remain committed to HFC-1234yf include BMW, Fiat-Chrysler, Ford, General Motors, Honda, Hyundai, PSA, Renault and Toyota.",reject,0.9985542893,0
31,"With this in mind , Roberts recently took __NE_FROM__ managers to Japan to check out world-class automaker __NE_TO__ and other Japanese companies ' lean processes "" to help us define some key steps "" .","With this in mind, Roberts recently took Bombardier managers to Japan to check out world-class automaker Toyota and other Japanese companies' lean processes ""to help us define some key steps"".",reject,0.8305795789,0
32,"Better vehicles from __NE_OTHER__ and __NE_FROM__ , coupled with the recalls by __NE_OTHER__ and __NE_OTHER__ , have narrowed the perceived quality gap between domestic and import vehicles , says Alec Gutierrez , vehicle valuation lead analyst at __NE_TO__ .","Better vehicles from General Motors Co. and Ford Motor Co., coupled with the recalls by Toyota Motor Sales U.S.A. and American Honda Motor Co., have narrowed the perceived quality gap between domestic and import vehicles, says Alec Gutierrez, vehicle valuation lead analyst at Kelley Blue Book.",reject,0.9273947477000001,0
33,__NE_FROM__ essentially caught __NE_TO__ in vehicle assembly productivity .,General Motors essentially caught Toyota in vehicle assembly productivity.,reject,0.5615963340000001,0
34,"But executives in Seoul say the top-shelf K900 sedan , which hit showrooms in March , is key to a grand plan to transform __NE_FROM__ into a mainstream brand on par with __NE_OTHER__ or __NE_TO__ by 2018 .","But executives in Seoul say the top-shelf K900 sedan, which hit showrooms in March, is key to a grand plan to transform Kia into a mainstream brand on par with Volkswagen or Toyota by 2018.",reject,0.9446078539,0
35,"Since __NE_FROM__ and __NE_TO__ account for about two-thirds of the Japanese vehicles sold in the United States , it is plain to see how badly the earthquake and tsunami --","Since Toyota Motor Sales and American Honda account for about two-thirds of the Japanese vehicles sold in the United States, it is plain to see how badly the earthquake and tsunami --",B_supplies_A,0.7179784775,1
36,"__NE_FROM__ currently builds the Camry midsize sedan in St. Petersburg and will add the RAV4 SUV next year , according to __NE_TO__ ' s interactive assembly plant map .","Toyota currently builds the Camry midsize sedan in St. Petersburg and will add the RAV4 SUV next year, according to Automotive News Europe's interactive assembly plant map.",B_supplies_A,0.4248774946,1
37,"According to __NE_OTHER__ , lease penetration for __NE_OTHER__ , including __NE_OTHER__ , __NE_FROM__ and __NE_TO__ brands , was about 31 percent of the captive ' s new-vehicle volume in the fourth quarter of 2011 .","According to Experian Automotive, lease penetration for Toyota Financial Services, including Toyota, Lexus and Scion brands, was about 31 percent of the captive’s new-vehicle volume in the fourth quarter of 2011.",reject,0.8969616890000001,0
38,"__NE_FROM__ says the documents also indicate that __NE_TO__ was aware that consumers in the U.S. were experiencing the same problem , thus proving the company violated U.S. law .","NHTSA says the documents also indicate that Toyota was aware that consumers in the U.S. were experiencing the same problem, thus proving the company violated U.S. law.",reject,0.7056384683,0
39,Profit from __NE_OTHER__ is critical to funding a strategy by parent company __NE_FROM__ to overtake __NE_OTHER__ and __NE_TO__ . as the world ' s biggest automaker by 2018 .,Profit from Audi is critical to funding a strategy by parent company Volkswagen Group to overtake General Motors Co. and Toyota Motor Corp. as the world's biggest automaker by 2018.,reject,0.8057068586,0
40,"No other __NE_FROM__ , __NE_OTHER__ , or __NE_TO__ vehicles are involved in the recall .","No other Toyota, Lexus, or Scion vehicles are involved in the recall.",reject,0.8874352574000001,0
41,"Results were led by __NE_FROM__ ( __NE_OTHER__ ( + 8 % to 124,500 units ) , __NE_OTHER__ ( + 9 % to 83,000 units ) and __NE_TO__ ( + 10 % to 79,300 ) .","Results were led by Toyota (Toyota (+8% to 124,500 units), Honda (+ 9% to 83,000 units) and Nissan (+10% to 79,300).",reject,0.8719697595,0
42,"It felt like 1988 to me with __NE_OTHER__ , "" said Farley , who was a young product planner with __NE_FROM__ . when __NE_TO__ launched its luxury brand .","It felt like 1988 to me with Lexus,"" said Farley, who was a young product planner with Toyota Motor Corp. when Toyota launched its luxury brand.",reject,0.7194025517,0
43,"In the statement , __NE_FROM__ also said it is participating in the independent initiative to test __NE_TO__ airbags proposed by __NE_OTHER__ , which held its first meeting in metro Detroit Thursday .","In the statement, Mazda also said it is participating in the independent initiative to test Takata airbags proposed by Toyota, which held its first meeting in metro Detroit Thursday.",reject,0.7455332279,0
44,"In addition to the Explorer-based __NE_FROM__ , __NE_OTHER__ sells a number of other wheelchair accessible models under the BraunAbility brand including modified __NE_OTHER__ , __NE_TO__ , __NE_OTHER__ and __NE_OTHER__ minivans .","In addition to the Explorer-based MXV, Braun sells a number of other wheelchair accessible models under the BraunAbility brand including modified Chrysler, Dodge, Honda and Toyota minivans.",reject,0.9143763781,0
45,"It added : "" A strong and competent __NE_FROM__ is good for __NE_TO__ and the industry because it will be less likely to propose poor regulations or push for inappropriate recalls .","It added: ""A strong and competent NHTSA is good for Toyota and the industry because it will be less likely to propose poor regulations or push for inappropriate recalls.",reject,0.7922145724,0
46,"__NE_FROM__ ' s biggest domestic competitors have moved more quickly to expand capacity in North America , with __NE_TO__ in particular preparing to build almost all of its models sold in the U.S. at plants in the U.S. , Canada or Mexico .","Toyota's biggest domestic competitors have moved more quickly to expand capacity in North America, with Honda in particular preparing to build almost all of its models sold in the U.S. at plants in the U.S., Canada or Mexico.",B_supplies_A,0.4698522687,1
47,"Dr. John Kenney is Director of __NE_FROM__ and a Principal Researcher at the __NE_TO__ in Mountain View , California .","Dr. John Kenney is Director of Networking Research and a Principal Researcher at the Toyota InfoTechnology Center in Mountain View, California.",reject,0.5680426359,0
48,"__NE_FROM__ ' s shares have risen 58 percent this year , outperforming __NE_TO__ and","Toyota’s shares have risen 58 percent this year, outperforming Honda Motor Co. and",reject,0.8717621565,0
49,6th : __NE_FROM__ ( __NE_TO__ – __NE_OTHER__ – __NE_OTHER__ joint venture ),6th: Toyota (Toyota – GAC – FAW joint venture),reject,0.7122882605,0
50,"A federal grand jury in Detroit has indicted former __NE_OTHER__ . executive Gikou Nakajima for participating in a conspiracy to fix prices of seatbelt systems supplied in the U.S. and elsewhere to __NE_OTHER__ , __NE_FROM__ , __NE_OTHER__ , __NE_OTHER__ and __NE_TO__ .","A federal grand jury in Detroit has indicted former Takata Corp. executive Gikou Nakajima for participating in a conspiracy to fix prices of seatbelt systems supplied in the U.S. and elsewhere to Fuji Heavy Industries, Honda, Mazda, Nissan and Toyota.",reject,0.9972068667,0
51,"__NE_FROM__ has not published prices for the iQ EV , but in November the automaker said the battery-powered iQ will be cheaper than rival electric cars such as the Mitsubishi i-MiEV or the __NE_TO__ .","Toyota has not published prices for the iQ EV, but in November the automaker said the battery-powered iQ will be cheaper than rival electric cars such as the Mitsubishi i-MiEV or the Nissan Leaf.",reject,0.7782072425000001,0
52,"__NE_FROM__ to probe 135,000 older __NE_TO__ SUVs for steering , brakes .","NHTSA to probe 135,000 older Toyota SUVs for steering, brakes.",reject,0.4462120533,0
53,"For example , sales in China by __NE_FROM__ and __NE_TO__ plunged 32 % and 35 % , respectively , last month .","For example, sales in China by Honda and Toyota plunged 32% and 35%, respectively, last month.",reject,0.6262905002,0
54,__NE_FROM__ enjoyed bigger increase in China sales than __NE_TO__ thanks to a tax reduction .,VW enjoyed bigger increase in China sales than Toyota thanks to a tax reduction.,A_supplies_B,0.4442410469,2
55,Thailand ' s floods disrupted plans by both __NE_FROM__ and __NE_TO__ for a production rebound in the year ' s final months after Japan ' s earthquake and tsunami limited their global output for five months .,Thailand's floods disrupted plans by both Toyota and Honda Motor Co. for a production rebound in the year's final months after Japan's earthquake and tsunami limited their global output for five months.,reject,0.823164463,0
56,"__NE_FROM__ , which counts __NE_TO__ as its biggest customer , said today it set aside 5.5 billion yen ( $ 54 million ) in provisions for costs related to a recall announced by a client , without identifying the customer .","Tokai Rika Co., which counts Toyota as its biggest customer, said today it set aside 5.5 billion yen ($54 million) in provisions for costs related to a recall announced by a client, without identifying the customer.",ownership,0.4847346246,4
57,__NE_FROM__ subscribes to the privacy principles that we ' ve partnered with the U.S. government and the __NE_TO__ on .,Toyota subscribes to the privacy principles that we’ve partnered with the U.S. government and the FTC on.,reject,0.8415535092,0
58,"In July 2011 , Judge Fischer pared down the case substantially by holding that investors who had bought __NE_FROM__ common stock could n't sue under Japan ' s __NE_TO__ .","In July 2011, Judge Fischer pared down the case substantially by holding that investors who had bought Toyota common stock couldn't sue under Japan's Financial Instruments and Exchange Act.",reject,0.9901775718,0
59,"LOS ANGELES -- __NE_FROM__ . will pay affiliate __NE_TO__ . about $ 60 million to develop batteries , motors and other parts for an electric-drive vehicle the companies are collaborating on .","LOS ANGELES  -- Toyota Motor Corp. will pay affiliate Tesla Motors Inc. about $60 million to develop batteries, motors and other parts for an electric-drive vehicle the companies are collaborating on.",B_supplies_A,0.5632508993,1
60,__NE_FROM__ to __NE_TO__ at 2020 Olympics .,Toyota to Demo Next-Gen Technology at 2020 Olympics.,reject,0.7587646246,0
61,"The automobile is currently undergoing a technological transformation that is reducing crashes , improving fuel efficiency , and bringing greater convenience and improved quality of life to drivers and passengers , ” said __NE_FROM__ vice president Kristen Tabar , from the __NE_TO__ .","The automobile is currently undergoing a technological transformation that is reducing crashes, improving fuel efficiency, and bringing greater convenience and improved quality of life to drivers and passengers,” said Toyota vice president Kristen Tabar, from the Toyota Technical Center.",B_supplies_A,0.6331486106,1
62,"__NE_OTHER__ is still a small player in Europe , where it had a 4.3 percent market share in the 11 months through November , well behind the leader __NE_FROM__ ' s 24.1 percent , according to the European industry association __NE_TO__ .","Toyota is still a small player in Europe, where it had a 4.3 percent market share in the 11 months through November, well behind the leader Volkswagen’s 24.1 percent, according to the European industry association ACEA.",reject,0.9308678508,0
63,"This is a good decision -- __NE_FROM__ should not be late in this area , "" said Tatsuo Yoshida , an equities analyst at __NE_TO__ . in Tokyo .","This is a good decision -- Toyota should not be late in this area,"" said Tatsuo Yoshida, an equities analyst at Sawakami Asset Management Inc. in Tokyo.",reject,0.9370415807,0
64,"Lauren Abro ' s job at the __NE_FROM__ in Ann Arbor , Mich. , is to create an emotional link between drivers and the interiors of __NE_TO__ vehicles .","Lauren Abro's job at the Toyota Technical Center in Ann Arbor, Mich., is to create an emotional link between drivers and the interiors of Toyota vehicles.",reject,0.6605313420000001,0
65,Attendees could also experience the cleaner side of motoring by testing __NE_FROM__ ' s hybrids and the __NE_TO__ .,Attendees could also experience the cleaner side of motoring by testing Toyota’s hybrids and the Hyundai Ioniq.,reject,0.8325279951000001,0
66,"The incentive , which runs through the end of February , offers __NE_FROM__ and __NE_TO__ owners three options , Henderson said : 1 .","The incentive, which runs through the end of February, offers Toyota and Lexus owners three options, Henderson said:  1.",reject,0.8621391654,0
67,"__NE_OTHER__ was named the best automotive brand worldwide for the 11th straight year , followed closely by __NE_FROM__ and __NE_TO__ , in __NE_OTHER__ ' s ranking of the 100 most valuable brands .","Toyota was named the best automotive brand worldwide for the 11th straight year, followed closely by Mercedes-Benz and BMW, in Interbrand’s ranking of the 100 most valuable brands.",reject,0.8289829493,0
68,"Bob Carter , __NE_FROM__ group vice president , vowed last week that __NE_TO__ will begin posting year-over-year sales gains starting in October .","Bob Carter, Toyota group vice president, vowed last week that Toyota will begin posting year-over-year sales gains starting in October.",reject,0.6555241346,0
69,"__NE_FROM__ . __NE_OTHER__ and __NE_TO__ each will own 40 % of the venture , which was formed last October .","Monet Technologies Corp. Toyota and Softbank each will own 40% of the venture, which was formed last October.",ownership,0.5498988628,4
70,"As __NE_FROM__ launches a push to capture 8 percent of the global auto market , __NE_TO__ looms as a cautionary tale .","As Ghosn launches a push to capture 8 percent of the global auto market, Toyota looms as a cautionary tale.",reject,0.8092408776000001,0
71,"The latest working group was then formed in November , comprising __NE_FROM__ and 12 other carmakers , including __NE_OTHER__ , __NE_TO__ , __NE_OTHER__ , __NE_OTHER__ , __NE_OTHER__ , __NE_OTHER__ , __NE_OTHER__ , __NE_OTHER__ , __NE_OTHER__ , __NE_OTHER__ and __NE_OTHER__ .","The latest working group was then formed in November, comprising Daimler and 12 other carmakers, including General Motors, Fiat-Chrysler, Ford, Honda, Hyundai, Jaguar Land Rover, Mazda, PSA Peugeot Citroen, Renault, Toyota BMW and Audi.",reject,0.9942426085,0
72,"Fukuichi , who heads design for the __NE_FROM__ , __NE_TO__ and __NE_OTHER__ brands , will remain head of the worldwide design group .","Fukuichi, who heads design for the Toyota, Lexus and Scion brands, will remain head of the worldwide design group.",reject,0.7131071687,0
73,"The 67-year-old veteran , dubbed the __NE_FROM__ , helped fine-tune a generation of __NE_OTHER__ ' s best cars , from the 2000GT of the ' 60s and Supra of the ' 80s to today ' s __NE_TO__ .","The 67-year-old veteran, dubbed the Meister of Nurburgring, helped fine-tune a generation of Toyota's best cars, from the 2000GT of the '60s and Supra of the '80s to today's LFA.",reject,0.6552935243,0
74,"__NE_OTHER__ investors include __NE_FROM__ , __NE_TO__ and","Tesla investors include Toyota, Daimler AG and",reject,0.8663293123,0
75,__NE_FROM__ and __NE_TO__ to jointly promote establishment of global communications platform to support car connectivity .,Toyota and KDDI to jointly promote establishment of global communications platform to support car connectivity.,B_supplies_A,0.601082623,1
76,"Developed in partnership with __NE_FROM__ , __NE_TO__ ' s","Developed in partnership with Toyota, BorgWarner’s",reject,0.439502418,0
77,"__NE_FROM__ spent an average of $ 2,041 per vehicle in February , up from $ 1,942 in January , according to __NE_TO__ .","Toyota spent an average of $2,041 per vehicle in February, up from $1,942 in January, according to Edmunds.com.",reject,0.6810382009,0
78,Other Japanese automakers could follow __NE_OTHER__ and __NE_FROM__ as the region moves to tougher emission standards after __NE_TO__ ' s diesel emissions-rigging scandal .,Other Japanese automakers could follow Nissan and Toyota as the region moves to tougher emission standards after Volkswagen Group's diesel emissions-rigging scandal.,reject,0.9824388027000001,0
79,__NE_FROM__ is recalling 3.8 million __NE_TO__ and __NE_OTHER__ models to secure the mats .,Toyota is recalling 3.8 million Toyota and Lexus models to secure the mats.,reject,0.5841151476,0
80,"__NE_OTHER__ already is drawing a younger audience of 46 percent Gen Y and Gen X buyers , compared to __NE_FROM__ and __NE_TO__ ' s 36 percent subcompact average .","Fiesta already is drawing a younger audience of 46 percent Gen Y and Gen X buyers, compared to Toyota and Scion’s 36 percent subcompact average.",reject,0.9101473689,0
81,"__NE_OTHER__ , __NE_FROM__ and __NE_TO__ executives predict growth there , and analysts agree .","GM, Toyota and VW executives predict growth there, and analysts agree.",reject,0.9484648108,0
82,__NE_FROM__ is banking on new technology to give momentum to its struggling __NE_TO__ brand .,Toyota is banking on new technology to give momentum to its struggling Scion brand.,reject,0.5614241958,0
83,"After introducing the Concept-i at the beginning of the year during __NE_FROM__ , __NE_TO__ has downsized the formula for the new Concept-i Ride tailored to city use .","After introducing the Concept-i at the beginning of the year during CES, Toyota has downsized the formula for the new Concept-i Ride tailored to city use.",reject,0.71438694,0
84,A congressional committee today asked __NE_FROM__ and its __NE_TO__ . consultant to produce any findings about possible electronic causes of unintended acceleration in advance of a May 6 hearing .,A congressional committee today asked Toyota Motor Corp. and its Exponent Inc. consultant to produce any findings about possible electronic causes of unintended acceleration in advance of a May 6 hearing.,reject,0.8396942019,0
85,"Calif . __NE_FROM__ , which last outsold __NE_TO__ in 2006 , might post a 16 percent sales jump , the average of six analysts ' estimates , while __NE_OTHER__ ' s may rise 9 percent , the average of four estimates .","Calif. Ford, which last outsold Toyota in 2006, might post a 16 percent sales jump, the average of six analysts' estimates, while Toyota's may rise 9 percent, the average of four estimates.",reject,0.9950030446,0
86,"__NE_FROM__ , a San Francisco-based , peer-to-peer car-sharing company , is leveraging __NE_OTHER__ and connected car technology to allow drivers to seamlessly and securely rent , locate and drive __NE_TO__ vehicles with a Smart Key Box that lets users lock and unlock vehicles and start the engine via a smartphone .","Getaround, a San Francisco-based, peer-to-peer car-sharing company, is leveraging MSPF and connected car technology to allow drivers to seamlessly and securely rent, locate and drive Toyota vehicles with a Smart Key Box  that lets users lock and unlock vehicles and start the engine via a smartphone.",ownership,0.5638673902,4
87,"It feels like a modern mid-size pickup truck , such as a __NE_FROM__ or __NE_TO__ , in that it ' s no longer a penalty box , but it ' s still not quite the smooth and well-damped environment of a Jeep Grand Cherokee .","It feels like a modern mid-size pickup truck, such as a Chevrolet Colorado or Toyota Tacoma, in that it's no longer a penalty box, but it's still not quite the smooth and well-damped environment of a Jeep Grand Cherokee.",reject,0.5705521703,0
88,"__NE_FROM__ also supplies battery packs for hybrid versions of the Toyota Camry and Highlander crossover and Lexus GS , __NE_TO__ and RX crossover .","Panasonic EV also supplies battery packs for hybrid versions of the Toyota Camry and Highlander crossover and Lexus GS, LS and RX crossover.",B_supplies_A,0.49647310380000004,1
89,"The lack of vehicle inventories led __NE_FROM__ and __NE_TO__ to scale back incentives and boost transaction prices , said Chris Hopson , a Lexington , Massachusetts-based analyst at __NE_OTHER__ .","The lack of vehicle inventories led Toyota and Honda to scale back incentives and boost transaction prices, said Chris Hopson, a Lexington, Massachusetts-based analyst at IHS Automotive.",reject,0.9752789140000001,0
90,"__NE_FROM__ is moving forward with plans to launch a second-generation version of the GT86 sports coupe , European marketing chief Matt Harrison , tells __NE_TO__ .","Toyota Motor Corp. is moving forward with plans to launch a second-generation version of the GT86 sports coupe, European marketing chief Matt Harrison, tells Autocar.",ambiguous,0.47166025640000003,3
91,__NE_FROM__ teases production C-HR in American flavor before __NE_TO__ debut .,Toyota teases production C-HR in American flavor before L.A. debut.,reject,0.6397944689,0
92,__NE_FROM__ ' s __NE_TO__ luxury brand .,Toyota Motor Corp.’s Lexus luxury brand.,reject,0.6430162787,0
93,"Other defendants named in multiple suits include __NE_FROM__ , __NE_TO__ , __NE_OTHER__ , __NE_OTHER__ and","Other defendants named in multiple suits include Ford Motor Co., Toyota Motor Corp., Chrysler, BMW and",reject,0.7593793869000001,0
94,"__NE_FROM__ and __NE_TO__ have been very good over the years in "" quantifying the voice of the customer "" in their products , Krafcik said .","Toyota and Honda have been very good over the years in ""quantifying the voice of the customer"" in their products, Krafcik said.",B_supplies_A,0.6579388380000001,1
95,"__NE_FROM__ has hired Andrew Shaffer , 40 , from __NE_TO__ . as consumer experience manager and Kevin Cour , 41 , from __NE_OTHER__ . __NE_OTHER__ . as sales and service operations manager .","Lincoln has hired Andrew Shaffer, 40, from Ferrari North America Inc. as consumer experience manager and Kevin Cour, 41, from Toyota Motor Sales U.S.A. Inc. as sales and service operations manager.",reject,0.9473379254000001,0
96,But __NE_FROM__ also took pains to spice up the __NE_TO__ ' s traditionally plain vanilla styling .,But Toyota also took pains to spice up the Camry's traditionally plain vanilla styling.,reject,0.7219068408,0
97,"DETROIT -- __NE_OTHER__ and __NE_FROM__ sold more vehicles in the U.S. last month than __NE_TO__ ' s __NE_OTHER__ , which has been the annual leader among luxury brands for 11 years .","DETROIT  -- Mercedes-Benz and BMW sold more vehicles in the U.S. last month than Toyota Motor Corp.'s Lexus, which has been the annual leader among luxury brands for 11 years.",reject,0.9100571871,0
